,open,high,low,close,volume
2025-04-07,162.0,183.4099,161.38,175.26,109327115.0
2025-04-08,185.23,185.9,168.57,170.66,87710360.0
2025-04-09,172.115,192.65,169.93,191.1,116804328.0
2025-04-10,185.44,186.8692,175.8518,181.22,68302045.0
2025-04-11,179.93,185.86,178.0,184.87,50594339.0
2025-04-14,186.84,187.44,179.23,182.12,48002540.0
2025-04-15,181.41,182.35,177.9331,179.59,43641952.0
2025-04-16,176.29,179.1046,171.41,174.33,51875316.0
2025-04-17,176.0,176.21,172.0,172.61,44726453.0
2025-04-21,169.6,169.6,165.285,167.32,48126111.0
2025-04-22,169.845,176.78,169.35,173.18,56607202.0
2025-04-23,183.45,187.38,180.19,180.6,63470149.0
2025-04-24,180.915,186.74,180.18,186.54,43763196.0
2025-04-25,187.62,189.94,185.49,188.99,36414330.0
2025-04-28,190.105,190.22,184.885,187.7,33224732.0
2025-04-29,183.99,188.0158,183.68,187.39,41667255.0
2025-04-30,182.17,185.05,178.85,184.42,55176543.0
2025-05-01,190.63,191.8071,187.5,190.2,74265963.0
2025-05-02,191.435,192.88,186.4,189.98,77903487.0
2025-05-05,186.51,188.18,185.53,186.35,35217469.0
2025-05-06,184.57,187.93,183.85,185.01,29314055.0
2025-05-07,185.56,190.99,185.01,188.71,44002926.0
2025-05-08,191.43,194.33,188.82,192.08,41043620.0
2025-05-09,193.375,194.69,191.16,193.06,29663143.0
2025-05-12,210.71,211.66,205.75,208.64,75205042.0
2025-05-13,211.08,214.84,210.1,211.37,56193682.0
2025-05-14,211.45,211.93,208.85,210.25,38492128.0
2025-05-15,206.45,206.88,202.673,205.17,64347317.0
2025-05-16,206.85,206.85,204.374,205.59,43318478.0
2025-05-19,201.645,206.62,201.26,206.16,34314810.0
2025-05-20,204.628,205.5899,202.65,204.07,29470373.0
2025-05-21,201.61,203.455,200.06,201.12,42460924.0
2025-05-22,201.38,205.76,200.16,203.1,38938882.0
2025-05-23,198.9,202.37,197.85,200.99,33393545.0
2025-05-27,203.085,206.69,202.19,206.02,34892044.0
2025-05-28,205.915,207.66,204.41,204.72,28549753.0
2025-05-29,208.025,208.81,204.23,205.7,34700005.0
2025-05-30,204.84,205.99,201.695,205.01,51679406.0
2025-06-02,204.98,207.0,202.68,206.65,29113319.0
2025-06-03,207.105,208.9469,205.03,205.71,33139121.0
2025-06-04,206.55,208.18,205.18,207.23,29915592.0
2025-06-05,209.55,212.81,207.56,207.91,51979243.0
2025-06-06,212.4,213.8699,210.5,213.57,39832500.0
2025-06-09,214.75,217.85,212.88,216.98,38102502.0
2025-06-10,216.78,217.69,214.15,217.61,31303317.0
2025-06-11,217.41,218.4,212.89,213.2,39325981.0
2025-06-12,211.78,213.58,211.33,213.24,27639991.0
2025-06-13,209.96,214.05,209.62,212.1,29337763.0
2025-06-16,212.31,217.06,211.6,216.1,33284158.0
2025-06-17,215.195,217.41,214.56,214.82,32086262.0
2025-06-18,215.09,217.96,212.34,212.52,44360509.0
2025-06-20,214.68,214.89,208.2709,209.69,75350733.0
2025-06-23,209.79,210.39,207.3101,208.47,37311725.0
2025-06-24,212.135,214.34,211.045,212.77,38378757.0
2025-06-25,214.615,216.03,211.11,211.99,31755698.0
2025-06-26,213.12,218.035,212.01,217.12,50480814.0
2025-06-27,219.92,223.3,216.74,223.3,119217138.0
2025-06-30,223.52,223.82,219.12,219.39,58887780.0
2025-07-01,219.5,221.875,217.93,220.46,39256830.0
2025-07-02,219.73,221.6,219.06,219.92,30894178.0
2025-07-03,221.82,224.01,221.36,223.41,29632353.0
2025-07-07,223.0,224.29,222.37,223.47,36604139.0
2025-07-08,223.915,224.0,218.43,219.36,45691987.0
2025-07-09,221.07,224.29,220.47,222.54,38155121.0
2025-07-10,221.55,222.79,219.7,222.26,30370591.0
2025-07-11,223.58,226.6799,222.37,225.02,50518307.0
2025-07-14,225.07,226.66,224.24,225.69,35702597.0
2025-07-15,226.2,227.27,225.455,226.35,34907294.0
2025-07-16,225.875,226.1,222.18,223.19,39535926.0
2025-07-17,223.32,224.5,222.51,223.88,31855831.0
2025-07-18,225.14,226.4,222.98,226.13,37833807.0
2025-07-21,225.835,229.69,225.65,229.3,40297556.0
2025-07-22,229.68,230.0,226.35,227.47,37483702.0
2025-07-23,228.47,228.79,227.09,228.29,28294852.0
2025-07-24,229.17,236.0,228.64,232.23,42902266.0
2025-07-25,232.22,232.48,231.18,231.44,28712095.0
2025-07-28,233.35,234.29,232.25,232.79,26300138.0
2025-07-29,234.15,234.72,230.31,231.01,33716220.0
2025-07-30,231.64,231.8,229.29,230.19,32993273.0
2025-07-31,235.77,236.53,231.4,234.11,104357263.0
2025-08-01,217.21,220.4399,212.8,214.75,122258801.0
2025-08-04,217.4,217.44,211.42,211.65,77890146.0
2025-08-05,213.05,216.3,212.87,213.75,51505121.0
2025-08-06,214.695,222.65,213.7409,222.31,54823045.0
2025-08-07,221.0,226.22,220.82,223.13,40603513.0
2025-08-08,223.14,223.8,221.8836,222.69,32970477.0
2025-08-11,221.78,223.05,220.4,221.3,31646222.0
2025-08-12,222.23,223.5,219.05,221.47,37254707.0
2025-08-13,222.0,224.9185,222.0,224.56,36508335.0
2025-08-14,227.4,233.11,227.02,230.98,61545824.0
2025-08-15,232.58,234.08,229.807,231.03,39649244.0
2025-08-18,230.225,231.91,228.33,231.49,25248890.0
2025-08-19,230.09,230.5283,227.12,228.01,29891012.0
2025-08-20,227.12,227.27,220.915,223.81,36604319.0
2025-08-21,222.65,222.78,220.5,221.95,32140459.0
2025-08-22,222.79,229.14,220.82,228.84,37315341.0
2025-08-25,227.35,229.6,227.31,227.94,22633695.0
2025-08-26,227.11,229.0,226.02,228.71,26105373.0
2025-08-27,228.57,229.87,227.81,229.12,21254479.0
2025-08-28,229.005,232.71,228.02,231.6,33679585.0
