Date,open,high,low,close,volume
2024-08-30,879.12,884.18,870.97,882.57,478200
2024-09-03,879.89,880.8,862.21,867.52,433500
2024-09-04,861.55,871.7,860.42,867.58,356600
2024-09-05,870.72,870.72,854.51,857.94,426000
2024-09-06,859.4,865.88,842.74,848.42,748900
2024-09-09,859.86,870.27,857.38,864.29,394800
2024-09-10,872.44,872.44,855.81,870.09,269900
2024-09-11,864.79,864.84,840.88,863.49,431900
2024-09-12,867.14,872.69,860.79,871.36,478700
2024-09-13,874.34,878.27,868.96,871.96,406900
2024-09-16,874.53,881.97,872.82,881.27,380900
2024-09-17,883.4,894.75,881.28,890.46,416900
2024-09-18,897.64,916.04,891.67,908.37,656300
2024-09-19,923.67,928.08,911.33,920.34,625500
2024-09-20,916.2,917.31,910.26,914.35,970100
2024-09-23,915.51,924.86,914.35,923.04,396500
2024-09-24,919.48,927.52,915.54,926.6,366500
2024-09-25,928.07,928.18,920.08,922.24,476800
2024-09-26,930.31,937.94,924.81,930.33,459400
2024-09-27,930.77,935.58,927.46,930.52,472500
2024-09-30,929.61,936.48,921.42,934.75,362200
2024-10-01,930.63,930.63,904.68,919.5,543800
2024-10-02,925.26,942.4,918.5,942.37,368200
2024-10-03,938.75,943.73,934.73,936.7,511100
2024-10-04,945.81,945.81,916.56,934.44,491700
2024-10-07,937.2,941.95,923.38,926.05,561400
2024-10-08,936.76,940.51,927.63,934.32,389000
2024-10-09,935.23,947.98,933.24,941.06,573200
2024-10-10,940.16,948.36,938.8,940.74,564400
2024-10-11,948.24,980.8,948.18,974.87,927500
2024-10-14,983.64,985.88,973.81,976.31,768400
2024-10-15,982.49,1000.65,980.64,991.35,618800
2024-10-16,988.54,1003.38,988.54,999.96,547100
2024-10-17,1007.69,1015.96,986.07,986.92,684700
2024-10-18,993.79,993.79,982.86,991.37,505400
2024-10-21,989.38,992.9,981.71,984.98,311200
2024-10-22,981.61,988.27,975.39,985.25,504400
2024-10-23,981.55,992.96,967.4,972.8,441400
2024-10-24,975.64,976.61,967.95,968.71,353600
2024-10-25,972.0,972.0,953.89,958.93,433500
2024-10-28,966.74,974.07,963.79,970.89,329400
2024-10-29,969.69,974.39,963.91,967.89,269500
2024-10-30,970.2,982.49,963.74,964.64,427900
2024-10-31,955.08,970.74,954.47,965.78,607800
2024-11-01,968.71,976.55,964.99,969.77,792000
2024-11-04,963.92,976.59,960.88,976.09,512500
2024-11-05,976.58,1001.87,976.58,998.58,424800
2024-11-06,1030.0,1041.07,984.46,1013.81,1266900
2024-11-07,1023.82,1028.71,1016.35,1019.96,528700
2024-11-08,1024.8,1034.11,1020.56,1023.13,454500
2024-11-11,1032.53,1051.73,1031.22,1037.46,681500
2024-11-12,1037.81,1040.65,1017.52,1020.24,489900
2024-11-13,1022.23,1027.43,1010.23,1014.95,408800
2024-11-14,1024.53,1042.43,1021.08,1030.8,1048700
2024-11-15,1022.35,1036.15,1018.92,1031.09,583400
2024-11-18,1022.44,1036.85,1021.28,1033.65,563200
2024-11-19,1025.8,1028.08,1011.62,1012.13,673500
2024-11-20,1016.3,1020.59,1002.18,1008.74,593700
2024-11-21,1018.65,1023.27,1008.67,1012.02,473100
2024-11-22,1016.94,1025.74,1012.51,1020.35,713000
2024-11-25,1032.54,1032.69,1014.55,1015.46,1463700
2024-11-26,1016.01,1022.18,1002.37,1010.52,772700
2024-11-27,1013.55,1017.93,1002.22,1003.6,481900
2024-11-29,1004.95,1013.32,1004.95,1006.9,390000
2024-12-02,1010.59,1017.58,997.13,1004.25,719600
2024-12-03,1015.06,1030.03,1005.13,1022.85,941700
2024-12-04,1021.87,1023.22,996.74,1018.91,1029500
2024-12-05,1019.01,1046.33,1017.56,1033.63,880500
2024-12-06,1033.28,1041.99,1027.27,1031.74,550300
2024-12-09,1038.77,1044.56,1032.12,1035.22,742600
2024-12-10,1038.66,1053.49,1034.75,1045.79,645000
2024-12-11,1049.82,1070.9,1048.97,1053.9,1139700
2024-12-12,1056.79,1062.59,1040.0,1047.52,687100
2024-12-13,1045.58,1050.12,1041.1,1045.27,537300
2024-12-16,1048.08,1060.54,1045.23,1053.29,897800
2024-12-17,1044.75,1048.44,1027.19,1038.03,990400
2024-12-18,1038.03,1049.68,1008.09,1009.41,864900
2024-12-19,1029.42,1029.78,1004.12,1005.49,796300
2024-12-20,996.89,1025.71,991.29,1017.72,2079800
2024-12-23,1014.95,1030.25,1012.44,1028.61,488100
2024-12-24,1030.53,1043.58,1025.61,1043.58,276600
2024-12-26,1033.85,1046.21,1033.85,1043.03,292100
2024-12-27,1036.82,1044.18,1029.16,1033.04,337100
2024-12-30,1021.79,1025.0,1010.58,1016.47,591700
2024-12-31,1019.81,1023.1,1008.66,1014.17,619400
2025-01-02,1019.01,1021.09,1001.2,1006.55,604500
