Date,open,high,low,close,volume
2024-08-30,412.5,414.38,409.06,414.03,24308300
2024-09-03,414.8,416.75,404.0,406.39,20313600
2024-09-04,402.89,408.18,401.36,405.85,15135800
2024-09-05,404.58,410.02,403.1,405.35,14195500
2024-09-06,406.01,407.59,397.81,398.71,19609500
2024-09-09,404.21,405.6,399.15,402.7,15295100
2024-09-10,405.16,413.23,404.66,411.11,19594300
2024-09-11,412.4,420.83,406.53,419.89,19266900
2024-09-12,420.16,424.19,416.62,423.82,17395700
2024-09-13,422.66,428.61,422.29,427.38,15874600
2024-09-16,427.39,430.3,425.03,428.13,13834700
2024-09-17,436.95,438.56,429.05,431.91,18874200
2024-09-18,431.76,432.78,427.2,427.6,18898000
2024-09-19,437.94,438.21,433.64,435.42,21706600
2024-09-20,433.96,435.97,430.98,432.03,55167100
2024-09-23,431.04,433.21,427.18,430.28,15128900
2024-09-24,429.77,430.12,422.92,425.97,17015800
2024-09-25,426.63,429.89,425.38,428.89,13396400
2024-09-26,431.85,432.06,425.93,428.1,14492000
2024-09-27,428.3,428.63,424.28,424.83,14896100
2024-09-30,425.02,427.21,422.2,427.09,16807300
2024-10-01,425.26,425.29,415.69,417.56,19092900
2024-10-02,419.43,419.67,413.6,414.02,16582300
2024-10-03,414.52,416.42,411.2,413.44,13686400
2024-10-04,415.12,416.62,411.88,412.96,19169700
2024-10-07,412.9,414.0,405.95,406.49,20919800
2024-10-08,407.84,412.56,405.13,411.62,19229300
2024-10-09,412.76,417.25,411.21,414.35,14974300
2024-10-10,412.14,414.24,410.07,412.74,13848400
2024-10-11,413.04,414.02,410.17,413.22,14144900
2024-10-14,414.66,420.88,414.41,416.02,16653100
2024-10-15,419.03,419.33,412.17,415.62,18900200
2024-10-16,412.08,413.26,407.42,413.02,15508900
2024-10-17,419.21,419.35,412.49,413.61,14820000
2024-10-18,414.03,416.52,413.16,415.04,17145300
2024-10-21,413.02,415.84,410.67,415.66,14206100
2024-10-22,415.37,427.37,414.92,424.32,25482200
2024-10-23,427.65,427.87,419.38,421.44,19654400
2024-10-24,422.16,422.81,419.25,421.57,13581600
2024-10-25,423.58,429.3,423.39,424.96,16899100
2024-10-28,428.44,428.72,423.12,423.41,14882400
2024-10-29,424.81,429.94,422.63,428.73,17644100
2024-10-30,434.18,435.23,428.88,429.31,29749100
2024-10-31,412.26,413.06,403.27,403.32,53971000
2024-11-01,405.96,412.4,404.46,407.31,24230400
2024-11-04,406.75,407.36,402.55,405.42,19672300
2024-11-05,405.33,411.81,405.04,408.39,17626000
2024-11-06,409.35,417.32,407.46,417.05,26681800
2024-11-07,418.14,423.67,416.75,422.26,19901800
2024-11-08,422.15,423.32,418.64,419.39,16891400
2024-11-11,419.37,421.64,412.9,414.9,24503300
2024-11-12,415.13,421.28,414.09,419.88,19401200
2024-11-13,418.5,426.13,415.09,422.03,21502200
2024-11-14,421.83,424.98,416.87,423.71,30246900
2024-11-15,416.69,419.65,410.56,411.91,28247600
2024-11-18,411.78,415.28,409.03,412.66,24727000
2024-11-19,410.03,414.83,408.48,414.68,18133500
2024-11-20,413.76,414.18,407.52,412.39,19191700
2024-11-21,417.21,417.49,408.05,410.61,20780200
